symbol,company_name,industry,yahoo_symbol,latest_close,price_date,return_63d,return_126d,return_189d,return_252d,weighted_momentum,rs_rating,is_high_rs
RITES,RITES Limited,,RITES.NS,223.5,2026-08-12,0.06455110639634243,-0.01531114181128801,-0.07736201291389921,-0.07524530253110728,-0.00776324889272193,39,False
VOLTAS,Voltas Limited,,VOLTAS.NS,1290.0,2026-08-12,0.05147686327630718,-0.12303302999271382,-0.007476274226605462,-0.011569976146201588,-0.0078251107625813,39,False
MAZDOCK,Mazagon Dock Shipbuilders Limited,,MAZDOCK.NS,2552.0,2026-08-12,0.028285901277591785,0.049547137082628145,-0.06995446127695981,-0.07795961913431515,-0.008359028154692645,38,False
RECLTD,REC Limited,,RECLTD.NS,346.0,2026-08-12,0.01190493934449166,-0.006860778740389262,-0.012112326690737363,-0.05290557297162557,-0.009613759942753774,38,False
CDSL,Central Depository Services (India) Limited,,CDSL.NS,1339.0,2026-08-12,0.13863156248082875,-0.0354671593667355,-0.15596598529427386,-0.13632846246125752,-0.010099696432121878,38,False
EIEL,Enviro Infra Engineers Limited,,EIEL.NS,203.1300048828125,2026-08-12,0.050853604117236495,0.1655382505484777,-0.10079676683880712,-0.21888092898305167,-0.010486447407781617,38,False
BRIGADE,Brigade Enterprises Limited,,BRIGADE.NS,592.9500122070312,2026-08-12,0.15268395596947948,-0.011297689382848586,-0.18077780838826984,-0.16636013724531984,-0.010613544615495865,38,False
KFINTECH,Kfin Technologies Limited,,KFINTECH.NS,922.0,2026-08-12,0.15625346593644185,-0.08598977928532447,-0.14588784128332855,-0.13669760738096626,-0.01121365921534712,38,False
JSL,Jindal Stainless Limited,,JSL.NS,737.9000244140625,2026-08-12,-0.01547695208263844,-0.06310303797927441,-0.002883778172508622,0.022255867817343677,-0.014936970499943247,38,False
IEX,Indian Energy Exchange Limited,,IEX.NS,125.94999694824219,2026-08-12,0.005428277507768309,0.01428768739587416,-0.0707586003636469,-0.029817883231068154,-0.015086448236660855,38,False
RELIGARE,Religare Enterprises Limited,,RELIGARE.NS,237.5,2026-08-12,0.07015729211042276,-0.10373973073496479,-0.06734731713151298,-0.04560982851169504,-0.015276458431465459,38,False
KSB,Ksb Limited,,KSB.NS,788.0499877929688,2026-08-12,-0.07408058935680517,0.08019120725072937,0.035692429915710644,-0.04711554059250089,-0.01587861642793425,38,False
BANCOINDIA,Banco Products (I) Limited,,BANCOINDIA.NS,628.6500244140625,2026-08-12,0.03336903039828809,-0.010871404472445279,-0.1974519622910491,0.06117186121995477,-0.016082688949392687,37,False
NLCINDIA,NLC India Limited,,NLCINDIA.NS,276.75,2026-08-12,-0.21556119734787704,0.07122118622715212,0.0680816446905288,0.2100161390298263,-0.016360684949649366,37,False
CANFINHOME,Can Fin Homes Limited,,CANFINHOME.NS,821.9500122070312,2026-08-12,-0.023636886041455196,-0.09431753198763548,-0.0667132796182478,0.12649766617034452,-0.01636138350368983,37,False
CONCOR,Container Corporation of India Limited,,CONCOR.NS,512.0499877929688,2026-08-12,-0.009993611131499991,2.9800301030613596e-05,-0.00616468750807031,-0.05849639348066904,-0.016923700590141744,37,False
NHPC,NHPC Limited,,NHPC.NS,76.8499984741211,2026-08-12,0.00351998211515947,0.0014334195128182792,-0.04197871119388552,-0.053767005478314034,-0.01745446658581247,37,False
TATAINVEST,Tata Investment Corporation Limited,,TATAINVEST.NS,679.0,2026-08-12,0.009692735721426038,0.02547043247395786,-0.12353688244321959,-0.011225193495600583,-0.01798123440440205,37,False
GARUDA,Garuda Construction and Engineering Limited,,GARUDA.NS,183.49000549316406,2026-08-12,0.020522816344691774,-0.028382316320464174,-0.16606823382653646,0.06149487935484799,-0.018382007620553822,37,False
